Planetary Science	Normal volcanoes on Earth erupt with lava, which freezes into rock. On some planets, cryovolcanoes erupt with...	Water	Plasma	Metal	Photons
Planetary Science	The ozone layer protects the Earth by preventing what from entering our atmosphere?	Ultraviolet radiation	Space invaders	Oxygen isotopes	Space debris
Science Fiction	In the movie 2001: A Space Odyssey, what was the name of the sentient computer that controlled the Discovery One?	HAL	WOPR	AMI	GERTY
Science Fiction	What 2011 novel (and 2015 film) follows the plight of Mark Watney, an astronaut stranded alone on another planet?	The Martian	John Carter	Red Planet	Ghosts of Mars
Science Fiction	What 1965 novel by Frank Herbert takes place on the planet Arrakis?	Dune	Starship Troopers	Ender's Game	The Forever War
Science Fiction	In which 2017 video game do you play as a character tasked with colonizing another galaxy?	Mass Effect: Andromeda	Nier: Automata	Horizon Zero Dawn	Doom
Science Fiction	In 2006, the United States Navy introduced an official reading list with important historical and military works, and two works of fiction. One of these works of fiction was Starship Troopers. What was the other?	Ender's Game	20,000 Leagues Under the Sea	1984	Dune
Space Missions	Who was the first person to walk on the moon?	Neil Armstrong	Buzz Aldrin	Michael Collins	Yuri Gagarin
Space Missions	Who was the first person in space?	Yuri Gagarin	Neil Armstrong	Buzz Aldrin	Michael Collins
Space Missions	Which spaceflight was the first to land humans on the moon?	Apollo 11	Apollo 10	Apollo 12	Apollo 13
Space Missions	Who was the first woman in space?	Valentina Tereshkova	Sally Ride	Peggy Whitson	Svetlana Svitskaya
Space Missions	How many men have walked on the moon?	12	50	4	1
Space Missions	The first US woman to walk in space was Kathryn Sullivan. On what date did she accomplish this feat? 	October 11, 1984	October 11, 1980	October 11, 1982	October 11, 1986
Space Missions	How much does a space suit weigh on the ground?	280 pounds	240 pounds	220 pounds	200 pounds
Space Missions	How long does it take to put on a space suit?	45 minutes	30 minutes	15 minutes	1 hour
The Solar System	What region of the Solar System, beyond the orbit of Neptune, contains many comets, asteroids, and icy bodies?	The Kuiper Belt	The Asteroid Belt	The Oort Cloud	The Large Magellanic Cloud
The Solar System	How old is the solar system?	4.6 billion years old	4.6 million years old	5.2 billion years old 	5.2 million years old 
The Solar System	Approximately how long does it take sunlight to reach earth?	8 minutes	12 minutes	1 hour	12 hours
The Solar System	Which of the following is the nearest star to earth?	Proxima Centauri	Barnard's Star	Sirius	Canis Major
The Solar System	How many solar systems are there in the Milky Way galaxy?	100 billion	100 million	50 billion	50 million
The Solar System	What are the only 2 planets in our solar system that have no moons?	Mercury and Venus	Venus and Mars	Mars and Jupiter	Jupiter and Uranus
The Solar System	What is the hottest planet in our solar system?	Venus	Mars	Uranus	Saturn
The Solar System	How many known moons are orbiting Jupiter?	79	85	102	34
The Solar System	Which planet has the most volcanoes?	Venus	Earth	Mars	Saturn
The Solar System	What is the largest planet in our solar system?	Jupiter	Saturn	Neptune	Mercury
The Solar System	What is the smallest planet in our solar system?	Mercury	Venus	Earth	Mars
The Solar System	The asteroid belt is located between the orbits of which two planets?	Mars and Jupiter	Earth and Mars	Venus and Earth	Mercury and Venus
The Solar System	In August 2006, the International Astronomical Union (IAU) defined a planet in our Solar System as a celestial body with three specific characteristics. Which of the following is NOT one of those characteristics?	Having moons	Being in an orbit around the Sun	Having enough mass for gravity to give it a nearly round shape	"Clearing the neighborhood" around its orbit
Stars	Which of the following stars is closest to our solar system?	Alpha Centauri	Tau Ceti	Sirius	Altair
Stars	Which star is also known as the North Star?	Polaris	Sirius	Betelgeuse	Rigel
Stars	Which star, also known as Orion's Hand, is known for its bright red color?	Betelgeuse	Polaris	Sirius	Vega
Stars	Which star, located in the constellation Canis Major, is the brightest in the night sky?	Sirius	Polaris	Betelgeuse	Aldebaran
Stars	The luminosity of a star is a measure of its...	Brightness	Mass	Temperature	Age
Stars	Aldebaran is the brightest star in the constellation Taurus. What language does the name Aldebaran come from?	Arabic	Persian	French	Latin
Starter	Who is Foxcroft's Student Head of School? (Don't know? Find someone from Foxcroft and ask!)	Helena	Brianna	Abby	Louise
Starter	Who is the Fox Captain at Foxcroft? (Don't know? Find someone from Foxcroft and ask!)	Louise	Abby	Helena	Brianna
Starter	Who is the Hound Captain at Foxcroft? (Don't know? Find someone from Foxcroft and ask!)	Abby	Louise	Helena	Brianna
Starter	Who do you go to in order to redeem raffle tickets?	Mr. Hales, at the raffle table in the gym!	Ms. Varney, on the moon!	Dr. Magnus, on the ISS!	Ms. McGehee, on Mars!
Starter	How many patents (filed) do the women from Stryker who volunteered to help with this competition have combined? (Don't know? Find a Stryker volunteer and ask!)	30	6	300	24
Starter	How many women work at Stryker's spine division as Engineers in Research and Development (Leesburg and Allendale)? (Don't know? Find a Stryker volunteer and ask!)	14, or 25%	7, or 12.5%	12, or 21%	9, or 16%
Starter	Last year the Stryker Spine division acquired a company called Mobius. What does Mobius specialize in? (Don't know? Find a Stryker volunteer and ask!)	Imaging	3D Printing	Machine Learning	Data Analysis
Starter	What is one of the first inventions Dr. Stryker founded his company to make? (Don't know? Find a Stryker volunteer and ask!)	Hospital beds	EKG machines	IV drip stands	Linoleum flooring
Starter	What is another role, besides engineering, that trained engineers have taken on at Stryker? (Don't know? Find a Stryker volunteer and ask!)	Quality assurance	Accounting	Public relations	Legal
Starter	What is the lab in the Stryker building used for? (Don't know? Find a Stryker volunteer and ask!)	Cadaver lab	Laser cutting	Cold-state physics	Electrical engineering
Starter	Where is Stryker's corporate HQ located? (Don't know? Find someone from Stryker and ask!)	Kalamazoo, Michigan	Altoona, Pennsylvania	Milwaukee, Wisconsin	Duluth, Minnesota
Starter	What is the total area (square feet) of both buildings at the Leesburg Stryker Spine headquarters? (Don't know? Find someone from Stryker and ask!)	180,000	275,000	100,000	150,000
